T->N%, TraceRecall_T,  TraceRecall_NT,
25,,50,[20-40[
25,,50,[20-40[
25,,35,[20-40[
20,5,50,[20-40[
20,,50,[20-40[
25,,42,[20-40[
25,,42,[20-40[
25,,41,[20-40[
20,,50,[20-40[
25,,35,[20-40[
31,15,41,[20-40[
20,,50,[20-40[
25,,42,[20-40[
38,,48,[20-40[
29,19,30,[20-40[
38,15,41,[20-40[
25,5,41,[20-40[
25,,42,[20-40[
25,,34,[20-40[
38,0,43,[20-40[
25,,42,[20-40[
25,,34,[20-40[
38,15,43,[20-40[
35,5,41,[20-40[
50,,48,[40-60[
50,,44,[40-60[
40,,50,[40-60[
40,,50,[40-60[
50,,48,[40-60[
50,,36,[40-60[
50,,44,[40-60[
49,19,33,[40-60[
54,7,43,[40-60[
50,,48,[40-60[
50,,41,[40-60[
59,9,33,[40-60[
40,,50,[40-60[
50,,42,[40-60[
50,,44,[40-60[
50,,50,[40-60[
50,,44,[40-60[
40,5,41,[40-60[
50,,48,[40-60[
50,,41,[40-60[
50,,44,[40-60[
54,,43,[40-60[
40,,50,[40-60[
50,,50,[40-60[
50,,44,[40-60[
40,,50,[40-60[
50,,50,[40-60[
50,,44,[40-60[
41,29,33,[40-60[
54,23,41,[40-60[
50,,44,[40-60[
60,,50,[60-80[
75,,50,[60-80[
63,9,33,[60-80[
65,,41,[60-80[
63,0,47,[60-80[
63,,44,[60-80[
75,,50,[60-80[
75,,42,[60-80[
69,7,41,[60-80[
70,5,45,[60-80[
75,,50,[60-80[
75,,50,[60-80[
75,,42,[60-80[
61,9,30,[60-80[
65,,50,[60-80[
75,,48,[60-80[
75,,36,[60-80[
75,,50,[60-80[
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
80,,50,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
93,,38,[80-100]
88,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
83,19,33,[80-100]
92,,43,[80-100]
100,,48,[80-100]
100,,48,[80-100]
88,,35,[80-100]
80,,45,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
100,,48,[80-100]
85,5,53,[80-100]
80,,50,[80-100]
100,,48,[80-100]
100,,48,[80-100]
90,,35,[80-100]
15,7,41,]0-20[
13,0,43,]0-20[
15,23,41,]0-20[
13,0,43,]0-20[
13,0,40,]0-20[
0,0,40,0
0,,47,0
0,,50,0
0,,42,0
0,,48,0
0,,50,0
0,,48,0
0,,34,0
0,,41,0
0,29,30,0
0,23,41,0
0,,47,0
0,,47,0
0,5,41,0
