 N->U%, TracePrecision_T, TracePrecision_NT,percentage 
0,42,96,0
0,93,97,0
0,82,98,0
0,100,100,0
0,,100,0
0,,99,0
0,70,100,0
0,64,100,0
0,79,100,0
0,,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,66,99,0
0,,100,0
0,,100,0
1,0,96,]0-20[
98,,,[80-100]
64,,100,[60-80[
36,,94,[20-40[
71,,100,[60-80[
95,,100,[80-100]
1,,100,]0-20[
4,,89,]0-20[
91,0,,[80-100]
46,85,100,[40-60[
78,66,100,[60-80[
44,,100,[40-60[
49,,100,[40-60[
82,50,100,[80-100]
6,0,96,]0-20[
34,,100,[20-40[
59,,100,[40-60[
47,,93,[40-60[
77,,100,[60-80[
87,,100,[80-100]
63,,100,[60-80[
24,,83,[20-40[
97,25,,[80-100]
46,89,83,[40-60[
24,60,95,[20-40[
18,,100,]0-20[
44,,100,[40-60[
90,75,66,[80-100]
88,25,100,[80-100]
91,,100,[80-100]
56,,100,[40-60[
21,,95,[20-40[
95,,100,[80-100]
43,,100,[40-60[
46,,100,[40-60[
7,,89,]0-20[
18,,100,]0-20[
82,80,100,[80-100]
27,60,95,[20-40[
46,,100,[40-60[
41,,100,[40-60[
80,100,100,[80-100]
47,0,100,[40-60[
6,,100,]0-20[
92,,,[80-100]
32,,96,[20-40[
13,,100,]0-20[
72,,100,[60-80[
35,,100,[20-40[
9,,96,]0-20[
71,,100,[60-80[
74,85,50,[60-80[
72,66,100,[60-80[
11,,100,]0-20[
53,,100,[40-60[
53,100,75,[40-60[
85,33,100,[80-100]
70,,100,[60-80[
61,,100,[60-80[
17,,96,]0-20[
49,,100,[40-60[
34,,100,[20-40[
42,,100,[40-60[
12,,89,]0-20[
73,33,100,[60-80[
87,90,100,[80-100]
58,60,80,[40-60[
55,,100,[40-60[
44,,100,[40-60[
30,75,95,[20-40[
3,0,96,]0-20[
56,,100,[40-60[
48,,100,[40-60[
75,0,50,[60-80[
44,,100,[40-60[
7,,100,]0-20[
5,,100,]0-20[
13,,88,]0-20[
81,50,100,[80-100]
67,81,100,[60-80[
58,66,100,[40-60[
78,,100,[60-80[
71,,100,[60-80[
58,75,90,[40-60[
79,33,100,[60-80[
36,,100,[20-40[
52,,100,[40-60[
64,,91,[60-80[
47,,100,[40-60[
95,,100,[80-100]
19,,100,]0-20[
43,,92,[40-60[
76,33,100,[60-80[
95,81,,[80-100]
94,71,100,[80-100]
25,,100,[20-40[
11,,100,]0-20[
90,50,0,[80-100]
71,0,100,[60-80[
1,,100,]0-20[
68,,100,[60-80[
30,,95,[20-40[
19,,100,]0-20[
50,,100,[40-60[
8,,100,]0-20[
80,0,100,[80-100]
41,,100,[40-60[
23,85,85,[20-40[
99,71,,[80-100]
86,,100,[80-100]
63,,100,[60-80[
73,100,100,[60-80[
13,0,96,]0-20[
43,,100,[40-60[
63,,100,[60-80[
49,0,94,[40-60[
75,,100,[60-80[
38,,100,[20-40[
49,,100,[40-60[
24,,88,[20-40[
96,33,100,[80-100]
90,81,100,[80-100]
37,66,100,[20-40[
89,,100,[80-100]
80,,100,[80-100]
53,75,93,[40-60[
25,0,96,[20-40[
94,,100,[80-100]
36,,100,[20-40[
17,,96,]0-20[
13,,100,]0-20[
7,,100,]0-20[
41,,100,[40-60[
79,0,100,[60-80[
26,,96,[20-40[
18,85,80,]0-20[
81,71,100,[80-100]
89,,100,[80-100]
16,,100,]0-20[
62,50,0,[60-80[
0,0,96,0
0,,100,0
0,,100,0
0,,96,0
0,,100,0
0,,100,0
0,,100,0
0,,89,0
0,,96,0
0,85,85,0
0,60,96,0
0,,100,0
0,,100,0
0,100,89,0
