T->N%, TracePrecision_T, TracePrecision_NT,
68,50,98,[60-80[
72,60,92,[60-80[
60,33,96,[60-80[
68,100,95,[60-80[
60,,99,[60-80[
65,0,96,[60-80[
67,100,95,[60-80[
67,,100,[60-80[
77,0,93,[60-80[
70,,99,[60-80[
78,33,99,[60-80[
79,100,95,[60-80[
78,33,99,[60-80[
67,100,99,[60-80[
67,100,100,[60-80[
76,100,98,[60-80[
60,,99,[60-80[
75,100,99,[60-80[
100,,100,[80-100]
100,,100,[80-100]
95,,95,[80-100]
88,100,95,[80-100]
100,,100,[80-100]
100,,99,[80-100]
83,,99,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,99,[80-100]
86,100,97,[80-100]
80,100,93,[80-100]
85,100,89,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,99,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,99,[80-100]
83,100,99,[80-100]
98,,86,[80-100]
100,,100,[80-100]
100,,100,[80-100]
86,,95,[80-100]
100,,100,[80-100]
100,,99,[80-100]
98,,91,[80-100]
80,100,99,[80-100]
100,,100,[80-100]
100,,100,[80-100]
93,,92,[80-100]
100,,100,[80-100]
100,,99,[80-100]
81,,97,[80-100]
89,,99,[80-100]
98,,86,[80-100]
80,40,89,[80-100]
100,,100,[80-100]
100,,100,[80-100]
90,100,94,[80-100]
100,,100,[80-100]
100,,99,[80-100]
94,,95,[80-100]
97,,86,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
100,,99,[80-100]
83,,99,[80-100]
88,100,86,[80-100]
100,,100,[80-100]
100,,100,[80-100]
85,100,91,[80-100]
100,,100,[80-100]
100,,99,[80-100]
82,57,93,[80-100]
80,100,99,[80-100]
100,,100,[80-100]
100,,100,[80-100]
90,,92,[80-100]
100,,100,[80-100]
100,,99,[80-100]
10,68,100,]0-20[
6,58,99,]0-20[
17,75,98,]0-20[
10,40,96,]0-20[
11,66,99,]0-20[
7,82,98,]0-20[
13,58,99,]0-20[
8,100,100,]0-20[
10,40,96,]0-20[
7,77,99,]0-20[
19,73,97,]0-20[
10,100,100,]0-20[
5,93,98,]0-20[
9,92,97,]0-20[
10,73,99,]0-20[
3,61,99,]0-20[
3,96,98,]0-20[
5,93,97,]0-20[
0,93,98,0
0,80,98,0
0,,100,0
0,,100,0
0,75,97,0
0,42,96,0
0,93,97,0
0,82,98,0
0,100,100,0
0,,100,0
0,,99,0
0,70,100,0
0,64,100,0
0,79,100,0
0,,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,66,99,0
0,,100,0
0,,100,0
38,0,94,[20-40[
25,,89,[20-40[
25,,100,[20-40[
25,,100,[20-40[
25,,90,[20-40[
20,100,88,[20-40[
20,,100,[20-40[
25,,96,[20-40[
25,,91,[20-40[
