 T->U%, TraceRecall_T,  TraceRecall_NT,percentage
20,37,98,[20-40[
79,63,99,[60-80[
48,81,99,[40-60[
33,,100,[20-40[
100,,100,[80-100]
100,,100,[80-100]
29,100,98,[20-40[
39,71,98,[20-40[
14,100,97,]0-20[
70,,100,[60-80[
17,100,100,]0-20[
22,66,99,[20-40[
80,71,100,[80-100]
42,89,96,[40-60[
100,,100,[80-100]
100,,100,[80-100]
15,80,98,]0-20[
10,28,98,]0-20[
30,66,99,[20-40[
88,25,99,[80-100]
67,,100,[60-80[
100,,100,[80-100]
100,,100,[80-100]
33,100,98,[20-40[
39,100,98,[20-40[
32,94,98,[20-40[
80,100,100,[80-100]
33,100,100,[20-40[
67,50,100,[60-80[
51,85,99,[40-60[
13,93,95,]0-20[
100,,100,[80-100]
100,,100,[80-100]
73,58,98,[60-80[
10,28,97,]0-20[
5,82,99,]0-20[
17,85,98,]0-20[
33,100,100,[20-40[
100,,100,[80-100]
100,,100,[80-100]
29,100,97,[20-40[
19,100,98,]0-20[
91,50,99,[80-100]
90,,100,[80-100]
8,100,100,]0-20[
89,,100,[80-100]
42,88,99,[40-60[
17,93,97,]0-20[
100,,100,[80-100]
100,,100,[80-100]
53,66,98,[40-60[
85,,100,[80-100]
35,81,99,[20-40[
76,64,100,[60-80[
33,100,100,[20-40[
100,,100,[80-100]
100,,100,[80-100]
5,100,97,]0-20[
84,20,99,[80-100]
27,95,98,[20-40[
60,,100,[60-80[
17,100,100,]0-20[
22,66,99,[20-40[
22,92,98,[20-40[
17,93,95,]0-20[
100,,100,[80-100]
100,,100,[80-100]
61,68,98,[60-80[
50,14,98,[40-60[
63,61,100,[60-80[
36,81,99,[20-40[
33,,100,[20-40[
100,,100,[80-100]
100,,100,[80-100]
90,100,99,[80-100]
3,100,97,]0-20[
34,90,98,[20-40[
10,100,100,]0-20[
42,100,100,[40-60[
22,80,99,[20-40[
35,88,100,[20-40[
88,70,100,[80-100]
100,,100,[80-100]
100,,100,[80-100]
32,73,97,[20-40[
35,37,97,[20-40[
28,75,100,[20-40[
2,86,98,]0-20[
33,100,100,[20-40[
100,,100,[80-100]
100,,100,[80-100]
95,,100,[80-100]
52,80,99,[40-60[
61,91,98,[60-80[
10,100,100,]0-20[
75,,100,[60-80[
44,50,100,[40-60[
38,90,99,[20-40[
24,93,96,[20-40[
100,,100,[80-100]
100,,100,[80-100]
97,,100,[80-100]
95,,100,[80-100]
19,75,99,]0-20[
64,63,99,[60-80[
67,,100,[60-80[
